Component,Explained_Variance,Cumulative_Variance
PC1,0.19794804264714072,0.19794804264714072
PC2,0.13585098659007253,0.3337990292372133
PC3,0.09361782491860493,0.4274168541558182
PC4,0.08647534244255428,0.5138921965983725
PC5,0.07627211724682764,0.5901643138452002
PC6,0.06878179852326885,0.658946112368469
PC7,0.061984763552266904,0.7209308759207359
PC8,0.06096388509441906,0.781894761015155
PC9,0.055882354185122184,0.8377771152002772
PC10,0.05045625815605914,0.8882333733563363
PC11,0.04307823906089271,0.931311612417229
PC12,0.03701445310155221,0.9683260655187812
PC13,0.03167393448121895,1.0000000000000002
